Rank,Parent Dish Class,Frequency (Votes),Consensus (Popularity %)
1,Biryani,166,146.90%
2,Karahi,104,92.04%
3,Pulao,104,92.04%
4,Nihari,45,39.82%
5,Haleem,35,30.97%
6,Kheer,25,22.12%
7,Gulab Jamun,22,19.47%
8,Sajji,17,15.04%
9,Chicken Tikka,15,13.27%
10,Jalebi,13,11.50%
11,Zarda,12,10.62%
12,Chaat,12,10.62%
13,Chapli Kabab,11,9.73%
14,Seekh Kabab,11,9.73%
15,Samosas,11,9.73%
16,Halwa Puri,10,8.85%
17,Paratha,9,7.96%
18,Saag,9,7.96%
19,Gajar ka Halwa,9,7.96%
20,Kulfi,9,7.96%
21,Aloo Gobi,8,7.08%
22,Kebabs,8,7.08%
23,Korma,8,7.08%
24,Bhindi Masala,8,7.08%
25,Paya,8,7.08%
26,Falooda,8,7.08%
27,Pakoras,8,7.08%
28,Naan,8,7.08%
29,Ras Malai,8,7.08%
30,Gol Gappay,7,6.19%
31,Sarson ka Saag,7,6.19%
32,Malai Boti,7,6.19%
33,Fried Fish,7,6.19%
34,Sohan Halwa,7,6.19%
35,Daal Chawal,6,5.31%
36,Barfi,6,5.31%
37,Chargha,6,5.31%
38,Raita,6,5.31%
39,Dahi Baray,6,5.31%
40,Shahi Tukray,6,5.31%
41,Shami Kabab,6,5.31%
42,Roti,6,5.31%
43,Sheer Khurma,6,5.31%
44,Rabri,6,5.31%
45,Palak Paneer,5,4.42%
46,Samosa,5,4.42%
47,Katakat,5,4.42%
48,Chapshuro,5,4.42%
49,Lahori Fried Fish,5,4.42%
50,Kashmiri Chai,5,4.42%
51,Suji ka Halwa,5,4.42%
52,Bhindi,5,4.42%
53,Pakora,5,4.42%
54,Karela,5,4.42%
55,Firni,5,4.42%
56,Lamb Karahi,5,4.42%
57,Chicken Steak,4,3.54%
58,Dahi Bhalla,4,3.54%
59,Noodles,4,3.54%
60,Aloo Palak,4,3.54%
61,Aloo Baingan,4,3.54%
62,Kofta,4,3.54%
63,Lassi,4,3.54%
64,Chicken Curry,4,3.54%
65,Pani Puri,4,3.54%
66,Bun Kabab,4,3.54%
67,Daal,4,3.54%
68,Kofta Curry,4,3.54%
69,Chicken Salan,4,3.54%
70,Beef Keema,4,3.54%
71,Kulcha,4,3.54%
72,Chicken Haleem,4,3.54%
73,Kadhi,4,3.54%
74,Chicken Broast,4,3.54%
75,Siri Paye,4,3.54%
76,Dhal,4,3.54%
77,Beef Haleem,4,3.54%
78,Beef Biryani,4,3.54%
79,Tikka,4,3.54%
80,Chicken Nihari,4,3.54%
81,Dum Pukht,4,3.54%
82,Aloo Tikki,4,3.54%
83,Palak Gosht,4,3.54%
84,Chana Chaat,4,3.54%
85,Roghnni Naan,4,3.54%
86,Shami Kebab,4,3.54%
87,Taftan,4,3.54%
88,Hareesa,3,2.65%
89,Qeema,3,2.65%
90,Vegetable Salad,3,2.65%
91,Fish Pulao,3,2.65%
92,Baingan Masala,3,2.65%
93,Chinese Fish,3,2.65%
94,Aloo Methi,3,2.65%
95,Masoor Dal,3,2.65%
96,Chicken Wings,3,2.65%
97,Chicken Soup,3,2.65%
98,Fish Steam,3,2.65%
99,Chinese Chicken,3,2.65%
100,Daal Mash,3,2.65%
101,Pakoray,3,2.65%
102,Chicken Pasta,3,2.65%
103,Beef Steak,3,2.65%
104,Chapli Kebabs,3,2.65%
105,Shopan,3,2.65%
106,Karahi Gosht,3,2.65%
107,Dahi Bhallay,3,2.65%
108,Kebab,3,2.65%
109,Fish Curry,3,2.65%
110,Qorma,3,2.65%
111,Murgh Musallam,3,2.65%
112,Fish Fillet,3,2.65%
113,Chicken Masala,3,2.65%
114,Beef Karahi,3,2.65%
115,Chicken Pizza,3,2.65%
116,Besan ki Roti,3,2.65%
117,Chicken Burgers,3,2.65%
118,Aloo Pakora,3,2.65%
119,Nargisi Kofta,3,2.65%
120,Chicken Kofta,3,2.65%
121,Jheenga,3,2.65%
122,Baingan,3,2.65%
123,Fish,3,2.65%
124,Kashmiri Pulao,3,2.65%
125,Chicken Samosa,3,2.65%
126,Mix Sabzi,3,2.65%
127,Zeera Rice,3,2.65%
128,Dahi Phulkiyan,3,2.65%
