Rank,Dish Name,Frequency (Votes),Consensus (Popularity %)
1,nihari,45,39.82%
2,biryani,42,37.17%
3,chicken karahi,31,27.43%
4,haleem,29,25.66%
5,gulab jamun,27,23.89%
6,chapli kebab,27,23.89%
7,seekh kabab,27,23.89%
8,sindhi biryani,26,23.01%
9,kheer,25,22.12%
10,mutton karahi,18,15.93%
11,chicken biryani,18,15.93%
12,sajji,18,15.93%
13,chicken tikka,17,15.04%
14,samosas,16,14.16%
15,halwa puri,16,14.16%
16,pakoras,16,14.16%
17,pulao,14,12.39%
18,jalebi,14,12.39%
19,paratha,13,11.50%
20,sarson ka saag,13,11.50%
21,zarda,12,10.62%
22,chaat,12,10.62%
23,karahi,12,10.62%
24,gajar ka halwa,12,10.62%
25,aloo gosht,11,9.73%
26,kebabs,11,9.73%
27,ras malai,11,9.73%
28,gol gappay,11,9.73%
29,dahi baray,11,9.73%
30,shami kabab,11,9.73%
31,paaye,10,8.85%
32,dahi bhalla,10,8.85%
33,saag,9,7.96%
34,kulfi,9,7.96%
35,chicken malai boti,9,7.96%
36,chicken salan,9,7.96%
37,aloo gobi,8,7.08%
38,chicken pulao,8,7.08%
39,korma,8,7.08%
40,bhindi masala,8,7.08%
41,paya,8,7.08%
42,falooda,8,7.08%
43,naan,8,7.08%
44,chicken pakora,8,7.08%
45,chicken broast,8,7.08%
46,mutton biryani,7,6.19%
47,malai boti,7,6.19%
48,fried fish,7,6.19%
49,mutton pulao,7,6.19%
50,sohan halwa,7,6.19%
51,daal chawal,7,6.19%
52,chargha,7,6.19%
53,shahi tukray,7,6.19%
54,sheer khurma,7,6.19%
55,chapshuro,7,6.19%
56,kabuli pulao,7,6.19%
57,bun kabab,7,6.19%
58,tikka,7,6.19%
59,chana chaat,7,6.19%
60,barfi,6,5.31%
61,raita,6,5.31%
62,roti,6,5.31%
63,rabri,6,5.31%
64,katakat,6,5.31%
65,harissa,6,5.31%
66,kashmiri chai,6,5.31%
67,suji ka halwa,6,5.31%
68,gajrela,6,5.31%
69,achari gosht,6,5.31%
70,palak paneer,5,4.42%
71,lahori fried fish,5,4.42%
72,bhindi,5,4.42%
73,karela,5,4.42%
74,chicken seekh kabab,5,4.42%
75,firni,5,4.42%
76,lamb karahi,5,4.42%
77,aloo palak,5,4.42%
78,karachi biryani,5,4.42%
79,pani puri,5,4.42%
80,matar pulao,5,4.42%
81,dum pukht,5,4.42%
82,aloo tikki,5,4.42%
83,palak gosht,5,4.42%
84,daal mash,5,4.42%
85,aloo pakora,5,4.42%
86,dahi phulkiyan,5,4.42%
87,anda shami burger,5,4.42%
88,tandoori roti,5,4.42%
89,aloo bukhara chutney,5,4.42%
90,chicken steak,4,3.54%
91,noodles,4,3.54%
92,aloo baingan,4,3.54%
93,kofta,4,3.54%
94,lassi,4,3.54%
95,chicken curry,4,3.54%
96,mutton seekh kabab,4,3.54%
97,daal,4,3.54%
98,kofta curry,4,3.54%
99,chicken chargha,4,3.54%
100,beef keema,4,3.54%
101,kulcha,4,3.54%
102,chicken haleem,4,3.54%
103,kadhi,4,3.54%
104,siri paye,4,3.54%
105,dhal,4,3.54%
106,beef haleem,4,3.54%
107,beef biryani,4,3.54%
108,chicken nihari,4,3.54%
109,qeema,4,3.54%
110,roghni naan,4,3.54%
111,taftan,4,3.54%
112,chicken wings,4,3.54%
113,karahi gosht,4,3.54%
114,murgh musallam,4,3.54%
115,chicken pizza,4,3.54%
116,keema,4,3.54%
117,chicken jalfrezi,4,3.54%
118,peshawari chicken karahi,4,3.54%
119,chai,4,3.54%
120,seviyan,4,3.54%
121,chicken handi,4,3.54%
122,aloo sabzi,4,3.54%
123,chana pulao,4,3.54%
124,halwa,4,3.54%
125,tarka daal,4,3.54%
126,baingan bharta,4,3.54%
127,diram fitti,4,3.54%
128,makki di roti,4,3.54%
129,mutton salan,4,3.54%
130,chicken multani,4,3.54%
131,mutton gosht,4,3.54%
132,grilled chicken,4,3.54%
133,fish kabab,4,3.54%
134,mutton burra,4,3.54%
135,sheermaal,4,3.54%
136,daal makhani,4,3.54%
137,anda paratha,4,3.54%
138,kadi pakora,4,3.54%
139,vegetable salad,3,2.65%
140,fish pulao,3,2.65%
141,baingan masala,3,2.65%
142,chinese fish,3,2.65%
143,aloo methi,3,2.65%
144,masoor dal,3,2.65%
145,chicken soup,3,2.65%
146,fish steam,3,2.65%
147,chinese chicken,3,2.65%
148,chicken pasta,3,2.65%
149,beef steak,3,2.65%
150,shopan,3,2.65%
151,fish curry,3,2.65%
152,qorma,3,2.65%
153,fish fillet,3,2.65%
154,beef karahi,3,2.65%
155,besan ki roti,3,2.65%
156,chicken burgers,3,2.65%
157,nargisi kofta,3,2.65%
158,chicken kofta,3,2.65%
159,jheenga,3,2.65%
160,baingan,3,2.65%
161,fish,3,2.65%
162,kashmiri pulao,3,2.65%
163,chicken samosa,3,2.65%
164,mix sabzi,3,2.65%
165,zeera rice,3,2.65%
166,peshawari ice cream,3,2.65%
167,murgh karahi,3,2.65%
168,mutton tikka,3,2.65%
169,doodh patti,3,2.65%
170,tahri,3,2.65%
171,white karahi,3,2.65%
172,palak chicken,3,2.65%
173,fruit chaat,3,2.65%
174,chicken reshmi kabab,3,2.65%
175,white mutton biryani,3,2.65%
176,matka kulfi,3,2.65%
177,butter chicken,3,2.65%
178,dampukht,3,2.65%
179,hareesa,3,2.65%
180,dumba karahi,3,2.65%
181,chicken sajji,3,2.65%
182,mithai,3,2.65%
183,barbeque,3,2.65%
184,karachi chicken,3,2.65%
185,chicken rolls,3,2.65%
186,roll,3,2.65%
187,pakistani chicken,3,2.65%
188,grill fish,3,2.65%
189,chicken kebab,3,2.65%
190,chicken peshawari,3,2.65%
191,machli ka salan,3,2.65%
192,kabab,3,2.65%
193,moong ki dal,3,2.65%
194,pakistani meat,3,2.65%
195,chicken sandwichs,3,2.65%
196,poori paratha,3,2.65%
197,pasanda,3,2.65%
198,gurda kapoora,3,2.65%
199,khichdi,3,2.65%
200,aloo keema,3,2.65%
201,gola kabab,3,2.65%
202,mutton korma,3,2.65%
203,zesty ginger chicken,3,2.65%
204,gosht karahi,3,2.65%
205,khatchauri,3,2.65%
206,kunna gosht,3,2.65%
207,bakarkhani,3,2.65%
208,beef kabab,3,2.65%
209,balochi sajji,3,2.65%
210,nan khatai,3,2.65%
211,peshawari chapli kabab,3,2.65%
212,lahori mutton karahi,3,2.65%
213,pathorae,3,2.65%
214,bihari kebab,3,2.65%
215,kadak chai,3,2.65%
216,chanp masala,3,2.65%
217,punjabi dal,2,1.77%
218,keema matar,2,1.77%
219,mix daal,2,1.77%
220,chinese rice,2,1.77%
221,daal moong,2,1.77%
222,daal ka soup,2,1.77%
223,chinese chow mein,2,1.77%
224,french fries,2,1.77%
225,katlama,2,1.77%
226,omelette,2,1.77%
227,sabzi pulao,2,1.77%
228,pizza,2,1.77%
229,dal khichdi,2,1.77%
230,fry fish,2,1.77%
231,lamb biryani,2,1.77%
232,chole,2,1.77%
233,kurkuri bhindi,2,1.77%
234,giyaling,2,1.77%
235,go-lee,2,1.77%
236,sai bhaji,2,1.77%
237,chicken tandoori,2,1.77%
238,namkeen tikka,2,1.77%
239,beef stew,2,1.77%
240,boneless chicken,2,1.77%
241,pakistani bread,2,1.77%
242,diet chicken,2,1.77%
243,beef kaleji,2,1.77%
244,kashmiri chicken korma,2,1.77%
245,chicken peshawari karahi,2,1.77%
246,beef burger,2,1.77%
247,tamatar,2,1.77%
248,pai recipes,2,1.77%
249,chicken rice,2,1.77%
250,lemon chicken,2,1.77%
251,maghaz,2,1.77%
252,masala fish,2,1.77%
253,steam fish,2,1.77%
254,daleem,2,1.77%
255,matar,2,1.77%
256,peshawari chicken,2,1.77%
257,pakistani vegetable,2,1.77%
258,chicken macaroni,2,1.77%
259,beef namkeen gosht,2,1.77%
260,achari chicken,2,1.77%
261,achari baingan,2,1.77%
262,chicken nuggets,2,1.77%
263,fish rolls,2,1.77%
264,anda aur sabzi,2,1.77%
265,matka biryani,2,1.77%
266,bbq,2,1.77%
267,chicken almond,2,1.77%
268,hyderabadi chicken,2,1.77%
269,beef tikka,2,1.77%
270,beef gosht,2,1.77%
271,karchi beef biryani,2,1.77%
272,aloo,2,1.77%
273,chicken vegetables,2,1.77%
274,peshawari karahi gosht,2,1.77%
275,vegetables in oven,2,1.77%
276,dum pukht biryani,2,1.77%
277,chicken sticks,2,1.77%
278,tandoori fish,2,1.77%
279,shahi chicken,2,1.77%
280,asian lantil soup,2,1.77%
281,fish tikka,2,1.77%
282,palak paneer kofta,2,1.77%
283,gosht ke kabab,2,1.77%
284,tali hui fish,2,1.77%
285,pakistani rice,2,1.77%
286,dal peshawari,2,1.77%
287,tinda,2,1.77%
288,chicken cashew nut,2,1.77%
289,makhni handi,2,1.77%
290,sabzi gosht,2,1.77%
291,keema spaghetti,2,1.77%
292,baked meat,2,1.77%
293,chinese vegetable dishes,2,1.77%
294,mutton champ,2,1.77%
295,sabzi dishes,2,1.77%
296,dum pukht machli,2,1.77%
297,paneer pasanda,2,1.77%
298,chicken khichdi,2,1.77%
299,fish and vegetables,2,1.77%
300,band gobhi,2,1.77%
301,gajar,2,1.77%
302,gobi,2,1.77%
303,baked fish,2,1.77%
304,fish karahi,2,1.77%
305,balochi rosh,2,1.77%
